Name	MOA	Target	Disease Area	Indication	Phase
CUDC-907	PI3K inhibitor	HDAC2, PIK3R1			Phase 2
CUR-61414	smoothened receptor antagonist	DHH, IHH, SMO			Phase 1
curcumin	cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor	APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CHRM3, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH			Launched
curcumol	JAK inhibitor	JAK1, JAK2, JAK3			Phase 1
cutamesine	sigma receptor agonist	SIGMAR1			Phase 2
CV-1808	adenosine receptor agonist	ADORA2A			Preclinical
CVT-10216	aldehyde dehydrogenase inhibitor	ALDH2			Phase 1
CW-008	PKA activator	PRKACA			Preclinical
CX-4945	casein kinase inhibitor	CSNK2A1, CSNK2A2, DAPK3, HIPK3			Phase 1/Phase 2
CX-516	glutamate receptor modulator				Phase 2/Phase 3
CX-5461	RNA polymerase inhibitor				Phase 1
CXD101	HDAC inhibitor				Phase 1/Phase 2
cyacetacide					Preclinical
cyamemazine	serotonin receptor antagonist	HTR1A, HTR2A, HTR2C, HTR7	neurology/psychiatry	schizophrenia, anxiety	Launched
cyanocobalamin	methylmalonyl CoA mutase stimulant, vitamin B	MUT	hematology, infectious disease, gastroenterology	anemia, fish tapeworm infestation, celiac disease	Launched
cyanopindolol	adrenergic receptor antagonist	ADRB1, HTR1A, HTR1D			Phase 2
cyclamic-acid					Preclinical
cyclandelate	calcium channel blocker		cardiology, rheumatology	claudication, arteriosclerosis, Raynaud's disease	Launched
cyclic-AMP		CNGA3, TRPM7			Preclinical
cyclizine	histamine receptor modulator	HRH1, SULT1E1	gastroenterology, neurology/psychiatry	nausea, vomiting, vertigo, motion sickness	Launched
cyclobenzaprine	adrenergic receptor agonist, serotonin receptor agonist	HTR2A	neurology/psychiatry	spasms	Launched
cyclocreatine	creatine kinase substrate				Phase 1
cyclocytidine	DNA synthesis inhibitor, RNA synthesis inhibitor				Preclinical
cycloheximide	protein synthesis inhibitor	RPL3			Preclinical
cyclopamine	hedgehog pathway inhibitor				Preclinical
cyclopenthiazide	thiazide diuretic		cardiology	hypertension, congestive heart failure	Launched
cyclopentolate	acetylcholine receptor antagonist		ophthalmology	mydriasis, cycloplegia	Launched
cyclophosphamide	DNA alkylating agent	CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP3A7	hematologic malignancy, oncology	Hodgkin's lymphoma, small lymphocytic lymphoma (SLL), breast cancer, neuroblastoma, Burkitt's lymphoma, multiple myeloma, chronic lymphocytic leukemia (CLL), acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL), chronic myeloid leukemia (CML), true histiocytic lymphoma (THL), retinoblastoma, ovarian cancer	Launched
cyclopiazonic-acid	ATPase inhibitor	ATP2A1			Preclinical
cycloserine-(D)	bacterial cell wall synthesis inhibitor	GRIN1	infectious disease	tuberculosis, tuberculosis	Launched
cyclosporin-A	calcineurin inhibitor	ABCB11, CAMLG, FPR1, PPIA, PPIF, PPP3CA, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3	rheumatology, dermatology	rheumatoid arthritis, psoriasis	Launched
cyclothiazide	glutamate receptor modulator	CA2, GRIA1, GRIA2, GRIA3, GRIA4, SLC12A3	cardiology	hypertension	Launched
cyclovalone	breast cancer resistance protein inhibitor	ABCG2	gastroenterology	bile stimulation	Launched
cyclovirobuxin-D	calcium channel modulator				Preclinical
CycLuc1					Preclinical
CYC065	CDK inhibitor				Phase 1
CYC116	Aurora kinase inhibitor	AURKA, AURKB, KDR			Phase 1
CYM-50260	sphingosine 1-phosphate receptor agonist	S1PR4			Preclinical
CYM-50358	sphingosine 1-phosphate receptor antagonist	S1PR4			Preclinical
CYM-50769	neuropeptide receptor antagonist	NPBWR1			Preclinical
CYM-5442	sphingosine 1-phosphate receptor agonist	S1PR1			Preclinical
CYM-5520	sphingosine 1-phosphate receptor agonist	S1PR2			Preclinical
CYM-5541	sphingosine 1-phosphate receptor agonist	S1PR3			Preclinical
cypermethrin			infectious disease	flea control	Launched
cyproheptadine	histamine receptor antagonist	ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7	allergy, otolaryngology, ophthalmology, dermatology	allergic rhinitis, vasomotor rhinitis, conjunctivitis, urticaria, dermatographism	Launched
cyproterone-acetate	androgen receptor antagonist	ADORA1, AR	oncology	prostate cancer	Launched
cyromazine					Launched
cysteamine	tissue transglutaminase inhibitor	NPY2R, SST	metabolism	cystinosis	Launched
CYT-997	tubulin polymerization inhibitor	TUBB			Phase 2
cytarabine	ribonucleotide reductase inhibitor	POLA1, POLB, POLD1, POLE	hematologic malignancy	acute lymphoblastic leukemia (ALL), chronic lymphocytic leukemia (CLL), acute myeloid leukemia (AML), non-Hodgkin lymphoma (NHL)	Launched
cytidine		UCK2			Launched
cytisine	acetylcholine receptor agonist	CHRNA2, CHRNA3, CHRNA4, CHRNA6, CHRNA7, CHRNB2, CHRNB4	neurology/psychiatry	nicotinism	Launched
cytochalasin-B	microtubule inhibitor	ACTB			Phase 2
cytochlor					Phase 1
cyt387	JAK inhibitor	JAK1, JAK2, JAK3			Phase 3
CY208-243	dopamine receptor agonist	CALY			Phase 2
CZC-54252	leucine rich repeat kinase inhibitor	LRRK2			Preclinical
CZC24832	PI3K inhibitor	PIK3CG			Preclinical
C106					Phase 3
C11-Acetate		ABAT, ACE, AKR1C3, CA2, CELA1, ESR2, FFAR2, FFAR3, HPRT1, LTA4H, MMP12, NOS1, NOS3, PLA2G1B, PTPN1, SOD1, TXN			Phase 3
C188-9	STAT inhibitor				Preclinical
C34	toll-like receptor inhibitor	TLR4			Preclinical
C646	histone acetyltransferase inhibitor	EP300			Preclinical
D,L-mevalonic-acid-lactone					Preclinical
D-(+)-maltose		MGAM			Preclinical
D-alpha-tocopheryl-succinate					Launched
D-delta-tocopherol					Launched
D-limonene					Phase 1
D-phenylalanine	enkephalinase inhibitor	CCBL1, CRH, HCAR3			Preclinical
D-serine	glutamate receptor agonist	GLRA1, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, SERPINB3			Launched
D-157495	decapping scavenger enzyme inhibitor				Preclinical
D-3263	transient receptor potential channel agonist				Phase 1
D-4476	TGF beta receptor inhibitor	CSNK1A1, CSNK1D, TGFB1			Preclinical
D-64131	microtubule inhibitor	TUBB			Preclinical
D-7193					Phase 2
DAA-1106	benzodiazepine receptor agonist	TSPO			Preclinical
dabigatran	thrombin inhibitor	F2	neurology/psychiatry, hematology	stroke, systemic embolism, pulmonary embolism (PE), deep vein thrombosis (DVT)	Launched
dabigatran-etexilate	thrombin inhibitor	F2	neurology/psychiatry, hematology	stroke, systemic embolism, pulmonary embolism (PE), deep vein thrombosis (DVT)	Launched
dabrafenib	RAF inhibitor	BRAF, LIMK1, NEK11, RAF1, SIK1	oncology	melanoma	Launched
dacarbazine	DNA alkylating agent	PGD, POLA2	oncology, hematologic malignancy	melanoma, Hodgkin's lymphoma	Launched
dacinostat	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9			Phase 1
daclatasvir	HCV inhibitor		infectious disease	hepatitis C	Launched
dacomitinib	EGFR inhibitor	EGFR, ERBB2, ERBB4			Launched
dactinomycin	RNA polymerase inhibitor	POLR2A	oncology	testicular carcinoma, Wilm's tumor, rhabdomyosarcoma, Ewing's sarcoma, gestational trophoblastic disease (GTD)	Launched
daidzein	estrogen receptor agonist	ESRRA, ESRRB, ESRRG, TRPC5			Phase 2
daidzin	antioxidant	ALDH2			Phase 1
dalargin	opioid receptor agonist	OPRM1			Phase 2
dalbavancin	bacterial cell wall synthesis inhibitor	PNLIP	infectious disease	skin infections	Launched
dalcetrapib	cholesteryl ester transfer protein inhibitor	CETP			Phase 3
dalfampridine	potassium channel blocker	KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNJ13, KCNJ5, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2	neurology/psychiatry	multiple sclerosis	Launched
dalfopristin	antibacterial 				Preclinical
daltroban	thromboxane receptor antagonist	TBXA2R			Phase 3
daminozide	KDM2A inhibitor	KDM2A, KDM7A, PHF8			Preclinical
danazol	estrogen receptor antagonist, progesterone receptor agonist	AR, CCL2, ESR1, GNRHR, GNRHR2, PGR	obstetrics/gynecology, cardiology	endometriosis, angioedema	Launched
danegaptide	gap junction modulator				Phase 2
danirixin	CC chemokine receptor antagonist	CXCR2			Phase 2
danofloxacin	bacterial DNA gyrase inhibitor		pulmonary	bovine respiratory disease (BRD)	Launched
danoprevir	HCV inhibitor				Phase 3
dantrolene	calcium channel blocker	RYR1, RYR3	neurology/psychiatry, endocrinology	spasms, malignant hyperthermia (MH)	Launched
dantron	laxative				Withdrawn
danusertib	Aurora kinase inhibitor, growth factor receptor inhibitor	AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK			Phase 2
dapagliflozin	sodium/glucose cotransporter inhibitor	SLC5A1, SLC5A2	endocrinology	diabetes mellitus	Launched
dapansutrile	anti-inflammatory agent				Phase 2
daphnetin	protein kinase inhibitor				Preclinical
dapiprazole	adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D	ophthalmology	mydriasis	Launched
dapivirine	non-nucleoside reverse transcriptase inhibitor	CYP3A4, CYP3A5			Phase 3
dapoxetine	selective serotonin reuptake inhibitor (SSRI)	HTR1A, HTR1B, HTR2C, SLC6A4	urology	premature ejaculation (PE)	Launched
daprodustat	hypoxia inducible factor inhibitor	EGLN1			Phase 3
dapsone	bacterial antifolate	DHFR	dermatology, infectious disease	dermatitis herpetiformis (DH), leprosy	Launched
DAPT	gamma secretase inhibitor				Preclinical
daptomycin	bacterial cell wall synthesis inhibitor		infectious disease	skin infections, endocarditis	Launched
darapladib	phospholipase inhibitor	PLA2G7			Phase 3
darglitazone	PPAR receptor antagonist	PPARG			Phase 2
darifenacin	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	urology	urinary incontinence	Launched
darolutamide	androgen receptor antagonist	AR	oncology	prostate cancer	Launched
darunavir	HIV protease inhibitor	CYP3A4	infectious disease	human immunodeficiency virus (HIV-1)	Launched
darusentan	endothelin receptor antagonist	EDNRA			Phase 3
dasabuvir	HCV inhibitor		infectious disease	hepatitis C	Launched
dasatinib	Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, SRC inhibitor, tyrosine kinase inhibitor	ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1	hematologic malignancy	chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL)	Launched
dasotraline	dopamine-norepinephrine-serotonin reuptake inhibitor				Phase 3
DAU-5884	acetylcholine receptor antagonist	CHRM3			Preclinical
daucosterol	apoptosis stimulant				Phase 2
daunorubicin	RNA synthesis inhibitor, topoisomerase inhibitor	TOP2A, TOP2B	hematologic malignancy	acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL)	Launched
dazmegrel	thromboxane synthase inhibitor	TBXAS1			Phase 2
dazoxiben	thromboxane synthase inhibitor	TBXAS1			Phase 2
DBeQ	ATPase inhibitor	CASP3			Preclinical
DBPR-211	cannabinoid receptor antagonist				Preclinical
DBPR108	dipeptidyl peptidase inhibitor	DPP4			Phase 1
DC-260126	free fatty acid receptor antagonist	FFAR1			Preclinical
DCC-2618	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor	KIT, PDGFRA			Phase 1
DCEBIO	potassium channel activator	KCNN2, KCNN3, KCNN4			Preclinical
DCP-LA	protein kinase activator				Preclinical
DCPIB	chloride channel blocker, gap junction modulator, glutamate inhibitor	SLC1A2			Preclinical
DDR1-IN-1	discoidin domain receptor inhibitor	DDR1, DDR2			Preclinical
deazaguanine	DNA synthesis inhibitor				Preclinical
Debio-0932	HSP inhibitor				Phase 1
debrisoquin	adrenergic neuron blocker	SLC6A2	cardiology	hypertension	Launched
decamethonium	acetylcholine receptor agonist	ACHE, CHRNA2	neurology/psychiatry	muscle relaxant	Launched
decamethoxine	antiseptic				Phase 2
decernotinib	JAK inhibitor	JAK3			Phase 2/Phase 3
decitabine	DNA methyltransferase inhibitor	DNMT1, DNMT3A	hematologic malignancy, hematology	myelodysplastic diseases (MDS), anemia, chronic myeloid leukemia (CML)	Launched
declopramide	cell cycle inhibitor				Preclinical
decloxizine	histamine receptor antagonist				Preclinical
decoquinate	antiprotozoal agent		infectious disease	coccidiosis	Launched
defactinib	focal adhesion kinase inhibitor	PTK2			Phase 2
deferasirox	chelating agent	CYP3A4	hematology	transfusional hemosiderosis, thalassemia, iron overload	Launched
deferasirox-iron-chelate					Launched
deferiprone	chelating agent	UGT1A6	hematology	transfusional hemosiderosis, thalassemia, iron overload	Launched
deferoxamine-mesylate	chelating agent		hematology	acute iron intoxication, iron overload	Launched
deflazacort	glucocorticoid receptor agonist	NR3C1	rheumatology	joint inflammation	Launched
deforolimus	mTOR inhibitor	MTOR			Phase 3
degarelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR	oncology	prostate cancer	Launched
dehydroacetic-acid					Preclinical
dehydrocholate					Preclinical
dehydrocholate-acid					Preclinical
dehydrocorydaline	acetylcholinesterase inhibitor	ACHE			Phase 3
dehydroepiandrosterone	protein synthesis stimulant	ESR1, ESR2, G6PD, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, HSD17B1, NR1I2, NR1I3, PPARA, SIGMAR1, SULT2A1, SULT2B1	endocrinology	menopause	Launched
dehydroepiandrosterone-sulfate	androgen receptor agonist, estrogen receptor agonist	AR, ESR1, ESR2	endocrinology	menopause	Launched
delafloxacin	antiinfective drug				Phase 3
delamanid	bacterial cell wall synthesis inhibitor		infectious disease	tuberculosis	Launched
delanzomib	proteasome inhibitor	CMA1, CTSG, CYP3A4, ELANE			Phase 1/Phase 2
delapril	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension	Launched
delavirdine	non-nucleoside reverse transcriptase inhibitor	CYP3A4	infectious disease	human immunodeficiency virus (HIV-1)	Launched
delcasertib	PKC inhibitor				Phase 1
delgocitinib	JAK inhibitor				Phase 2
delivert	angiotensin receptor agonist	AGTR1, AGTR2	critical care	sepsis	Launched
delpazolid	antibacterial				Phase 2
delphinidin	membrane permeability inhibitor	GLO1			Phase 2
delta-tocotrienol	HMGCR inhibitor	HMGCR			Phase 1
deltarasin	phosphodiesterase inhibitor	KRAS			Preclinical
demecarium	acetylcholinesterase inhibitor	ACHE, BCHE	ophthalmology	intraocular pressure, glaucoma	Launched
demeclocycline	bacterial 30S ribosomal subunit inhibitor		endocrinology, infectious disease, ophthalmology, urology	fever, respiratory tract infections, psittacosis, trachoma, conjunctivitis, urethritis, chancroid, cholera, syphilis, listeria, anthrax, actinomycosis, tularemia, brucellosis	Launched
denatonium-benzoate					Preclinical
denopamine	adrenergic receptor agonist		cardiology	angina pectoris	Launched
denotivir	antiviral		infectious disease	virus herpes simplex (HSV), skin infections	Launched
deoxyarbutin	tyrosinase inhibitor				Preclinical
deoxycholic-acid	biliverdin reductase A activator, G protein-coupled receptor agonist	FPR1, GPBAR1	endocrinology	submental fat	Launched
deoxycorticosterone-acetate	progestogen hormone	NR3C2			Preclinical
deoxyepinephrine	adrenergic receptor agonist, dopamine receptor agonist	ADRA1A, DRD1, DRD2			Preclinical
deptropine	histamine receptor antagonist	HRH1			Preclinical
dequalinium	PKC inhibitor	KCNN1, KCNN3	infectious disease	first-aid antiseptic	Launched
deracoxib	cyclooxygenase inhibitor	PTGS2	rheumatology	osteoarthritis	Launched
derazantinib	tyrosine kinase inhibitor				Phase 2
deserpidine	angiotensin converting enzyme inhibitor	ACE, SLC18A2	cardiology	hypertension	Launched
desidustat	hypoxia inducible factor prolyl hydroxylase inhibitor				Preclinical
desipramine	tricyclic antidepressant	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A4, SMPD1	neurology/psychiatry	depression	Launched
desisobutyryl-ciclesonide	cytochrome P450 inhibitor		allergy	allergic rhinitis	Launched
deslanoside	Na/K-ATPase inhibitor	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2	cardiology	congestive heart failure, cardiac arrythmia	Launched
desloratadine	histamine receptor antagonist	HRH1	allergy	allergic rhinitis, urticaria	Launched
deslorelin	gonadotropin releasing factor hormone receptor agonist				Phase 2
desmethylclozapine	acetylcholine receptor agonist	HTR2C			Phase 2
desmopressin-acetate	vasopressin receptor agonist	AVPR1A, AVPR1B, AVPR2, OXTR	endocrinology, urology	central diabetes insipidus, nocturnal enuresis	Launched
desogestrel	progesterone receptor agonist	ESR1, PGR	endocrinology	contraceptive	Launched
desonide	glucocorticoid receptor agonist	NR3C1, PLA2G1B	gastroenterology	Crohn's disease	Launched
desoximetasone	glucocorticoid receptor agonist	NR3C1, PLA2G1B	dermatology	corticosteroid-responsive dermatoses	Launched
desoxycorticosterone-pivalate	corticosteroid agonist	NR3C2	endocrinology	Addison's disease	Launched
desoxycortone	mineralocorticoid receptor agonist	NR3C1, NR3C2			Preclinical
desoxypeganine	acetylcholinesterase inhibitor, monoamine oxidase inhibitor	ACHE			Phase 1
desvenlafaxine	serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2, SLC6A3, SLC6A4	neurology/psychiatry	depression	Launched
detomidine	adrenergic receptor agonist	ADRA2A	neurology/psychiatry	sedative	Launched
devazepide	CCK receptor antagonist				Preclinical
dexamethasone	glucocorticoid receptor agonist	ANXA1, NOS2, NR0B1, NR3C1, NR3C2	endocrinology, rheumatology, allergy, gastroenterology, hematology, neurology/psychiatry, dermatology	hypercalcemia, rheumatoid arthritis, psoriatic arthritis, osteoarthritis, allergic rhinitis, ulcerative colitis, anemia, multiple sclerosis, enteritis, lupus, dermatitis herpetiformis (DH), nephrotic syndrome, psoriasis	Launched
dexamethasone-acetate	glucocorticoid receptor agonist		endocrinology, rheumatology, allergy, gastroenterology, hematology, neurology/psychiatry, dermatology	hypercalcemia, rheumatoid arthritis, psoriatic arthritis, osteoarthritis, allergic rhinitis, ulcerative colitis, anemia, multiple sclerosis, enteritis, lupus, dermatitis herpetiformis (DH), nephrotic syndrome, psoriasis	Launched
dexchlorpheniramine	histamine receptor antagonist		allergy, cardiology	allergic conjunctivitis, allergic rhinitis, urticaria, angioedema	Launched
dexfosfoserine	membrane integrity inhibitor	CFTR, GRM4, GRM6, GRM7, GRM8, KCNC4, PDPK1, PIM1, PRKACA, PRKCQ, PYGL, PYGM, REG1A, RHO, SERPINB3, SMAD2, TAOK2			Preclinical
dexlansoprazole	ATPase inhibitor	ATP4A	gastroenterology	gastroesophageal reflux disease (GERD), erosive esophagitis (EE)	Launched
dexloxiglumide	CCK receptor antagonist	CCKAR			Phase 3
dexmedetomidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C	neurology/psychiatry	sedative	Launched
dexniguldipine	calmodulin antagonist	ADORA3			Phase 2
dexpanthenol			gastroenterology	paralytic ileus	Launched
dexrazoxane	chelating agent, topoisomerase inhibitor	TOP2A, TOP2B	cardiology	cardiomyopathy	Launched
dextran			hematology, critical care	thrombosis, hypovolemia	Launched
dextromethorphan	glutamate receptor antagonist, sigma receptor agonist	CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SIGMAR1, SLC6A2, SLC6A4	pulmonary	cough suppressant	Launched
dextrorotation-nimorazole-phosphate-ester	antiinfective drug				Preclinical
dextrose			endocrinology	hypoglycemia	Launched
DFB	glutamate receptor agonist	GRM5			Preclinical
DG-172	PPAR receptor inverse agonist	PPARD			Preclinical
DG051	leukotriene synthesis inhibitor				Preclinical
DH-97	melatonin receptor antagonist	MTNR1B			Preclinical
DHBP	ryanodine receptor blocker				Preclinical
diacerein	interleukin inhibitor	IL1B	rheumatology	osteoarthritis	Launched
diacetamate					Preclinical
diadenosine-tetraphosphate	adenosine kinase inhibitor	P2RY13, P2RY2			Phase 1
dianhydrogalactitol	DNA alkylating agent				Phase 3
diarylpropionitrile	estrogen receptor agonist	ESR2			Preclinical
diatrizoic-acid			radiology	contrast agent	Launched
diaveridine	dihydrofolate reductase inhibitor		infectious disease	coccidiosis	Launched
diazoxide	potassium channel activator	ATP1A1, CA1, CA2, KCNJ11, KCNJ8, KCNMA1, SLC12A3	endocrinology	hypoglycemia	Launched
dibekacin	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections	Launched
dibenzepine	norepinephrine reputake inhibitor				Preclinical
dibenzothiophene					Preclinical
dibutyl-phthalate		TRPA1			Preclinical
dichlorisone-acetate					Phase 2
dichloroacetate	pyruvate dehydrogenase kinase inhibitor				Phase 3
dichlorophen	anticestodal agent		infectious disease	hookworm, tapeworm	Launched
dichlorvos	acetylcholinesterase inhibitor				Launched
diclazuril	antiprotozoal agent		infectious disease	equine protozoal myeloencephalitis (EPM)	Launched
diclofenac	cyclooxygenase inhibitor	AKR1C3, ALOX5, ASIC1, ASIC3, KCNQ2, KCNQ3, PLA2G2A, PPARG, PTGS1, PTGS2, SCN4A	rheumatology, neurology/psychiatry	rheumatoid arthritis, osteoarthritis, migraine headache	Launched
diclofenamide	carbonic anhydrase inhibitor	CA1, CA12, CA2, CA4, CA7	ophthalmology, neurology/psychiatry	glaucoma, epilepsy	Launched
diclofensine	dopamine reuptake inhibitor	DRD1, MAOA, MAOB			Phase 3
dicloralurea					Preclinical
dicloxacillin	bacterial cell wall synthesis inhibitor		infectious disease	gram-positive bacterial infections	Launched
dicoumarol	NADPH inhibitor	CRYZ, NQO1, VKORC1	hematology	deep vein thrombosis (DVT)	Launched
dicyclohexylamine					Preclinical
dicycloverine	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3	gastroenterology	irritable bowel syndrome	Launched
didanosine	nucleoside reverse transcriptase inhibitor	PNP	infectious disease	human immunodeficiency virus (HIV-1)	Launched
dideoxyadenosine	nucleoside reverse transcriptase inhibitor				Phase 1
didox	ribonucleotide reductase inhibitor	RRM1	oncology	breast cancer	Launched
dienestrol	estrogen receptor agonist	ESR1	endocrinology	menopause	Launched
dienogest	progesterone receptor agonist	PGR	endocrinology, obstetrics/gynecology	contraceptive, endometriosis	Launched
diethylcarbamazine	lipoxygenase inhibitor	ALOX5, PTGS1	infectious disease	filariasis	Launched
diethylstilbestrol	estrogen receptor agonist	ESR1, ESR2, ESRRB, ESRRG			Withdrawn
diethyltoluamide	ionotropic receptor IR40a activator		dermatology	sunscreen lotion	Launched
difenpiramide	cyclooxygenase inhibitor, prostaglandin inhibitor		neurology/psychiatry	pain relief	Launched
diflorasone-diacetate	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses	Launched
difloxacin	bacterial DNA gyrase inhibitor		infectious disease	skin infections, urinary tract infections	Launched
diflunisal	prostanoid receptor antagonist	PTGS1, PTGS2	rheumatology	rheumatoid arthritis, osteoarthritis	Launched
difluprednate	glucocorticoid receptor agonist	NR3C1	ophthalmology	endogenous uveitis	Launched
diftalone	cyclooxygenase inhibitor		endocrinology	thyroiditis	Launched
digitoxigenin	ATPase inhibitor	ATP1A1			Preclinical
digitoxin	ATPase inhibitor	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2	cardiology	congestive heart failure, cardiac arrythmia	Launched
digoxigenin	steroid				Preclinical
digoxin	ATPase inhibitor	ATP1A1	cardiology	congestive heart failure, atrial fibrillation (AF)	Launched
dihomo-gamma-linolenic-acid	prostanoid receptor agonist	PTGS1, PTGS2			Phase 2
dihydrexidine	dopamine receptor agonist	DRD1, DRD2, DRD3, DRD4, DRD5			Phase 2
dihydroartemisinin	antimalarial agent		infectious disease	malaria	Launched
dihydroergocristine	adrenergic receptor antagonist, prolactin inhibitor	ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7	neurology/psychiatry	senile dementia, cerebrovascular insufficiency	Launched
dihydroergotamine	serotonin receptor agonist	ADRA2A, DRD2, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7	neurology/psychiatry	migraine headache	Launched
dihydromyricetin					Preclinical
dihydrostreptomycin	bacterial 30S ribosomal subunit inhibitor				Withdrawn
dihydrotachysterol	vitamin analog	VDR	orthopedics, endocrinology	rickets, hypocalcemia, osteomalacia	Launched
dihydroxyacetone			dermatology	skin protectant	Launched
dihydroxyphenylglycine	glutamate receptor agonist	GRM1, GRM5			Preclinical
diiodothyropropionic-acid	thyroid hormone stimulant				Phase 2
dilazep	adenosine reuptake inhibitor	SLC29A1	cardiology	coronary heart disease	Launched
dilmapimod	p38 MAPK inhibitor				Phase 1
diloxanide	protein synthesis inhibitor		infectious disease	amebiasis	Launched
diltiazem	calcium channel blocker	CACNA1C, CACNA1S, CACNA2D1, CACNG1, HTR3A, KCNA5	cardiology	hypertension, angina pectoris	Launched
DIM-C-pPhCO2Me	nuclear receptor antagonist				Preclinical
dimaprit	histamine receptor agonist	HRH2, HRH3, HRH4			Preclinical
dimemorfan	sigma receptor agonist	SIGMAR1	pulmonary	cough suppressant	Launched
dimenhydrinate	histamine receptor antagonist	HRH1	neurology/psychiatry, gastroenterology	motion sickness, nausea, vomiting	Launched
dimercaprol	chelating agent		neurology/psychiatry	metal toxicity	Launched
dimercaptosuccinic-acid	chelating agent	DNMT1	neurology/psychiatry	metal toxicity	Launched
dimesna	tubulin polymerization inhibitor				Phase 3
dimethadione	oxazolidine antiepileptic				Preclinical
dimethicone			dermatology	cosmetic	Launched
dimethindene-(S)-(+)	acetylcholine receptor antagonist	HRH1			Preclinical
dimethisoquin	local anesthetic		neurology/psychiatry	local anesthetic	Launched
dimethyl-fumarate	nuclear factor erythroid derived, like (NRF2) activator	KEAP1	neurology/psychiatry	multiple sclerosis	Launched
dimethyl-isosorbide	cosmetic moisturizer				Preclinical
dimetindene	cholinergic receptor antagonist, histamine receptor antagonist	HRH1	allergy	allergic rhinitis	Launched
dimetridazole	bacterial DNA inhibitor		infectious disease	protozoan infection	Launched
diminazene-aceturate	angiotensin converting enzyme activator	AOC1, PRDX5, PRSS1			Phase 3
dimpylate	acetylcholinesterase inhibitor	ACHE	infectious disease	flea control	Launched
dinaciclib	CDK inhibitor	CDK1, CDK2, CDK5, CDK9			Phase 3
dinitolmide			infectious disease	coccidiosis	Launched
